Spot_number;HT_Br_141_27754;HT_Br_142_27755;HT_Br_143_27756;HT_Br_145_27757;HT_Br_153_27758;HT_Br_182_30362;HT_Br_184_30363;HT_Br_186_30343;HT_Br_185_30364;HT_Br_189_30367;HT_Br_221_30350;HT_Br_222_30351;HT_Br_227_30353;HT_Br_229_30354;HT_Br_233_30355;HT_Br_122_27749;HT_Br_123_27750;HT_Br_125_27751;HT_Br_126_27752;HT_Br_129_27753;HT_Br_161_27759;HT_Br_162_27760;HT_Br_166_30359;HT_Br_172_30342;HT_Br_173_30361;HT_Br_202_30368;HT_Br_203_30369;HT_Br_204_30346;HT_Br_205_30347;HT_Br_207_30345
45;6763312;6966863;6006985;5120761;9120571;6161298;4438035;19590652;5282460;6504236;4678531;2160960;3939886;2445546;64768;7563888;5879243;7043350;5885715;6699740;5128015;2430172;5303710;5635613;2586951;4819522;4860770;4842049;1839401;605503
53;9950611;17838761;12401817;14001657;11963762;14891363;9596294;23846920;9998502;9999054;11837575;12884919;9805115;8734801;604969;12735062;8899526;11570789;17043221;9936874;12689674;9537262;10988683;11866547;7705261;11889297;15321258;18908028;6482305;16408730
27;3597300;8752424;7729942;5550246;6586005;5470708;4278942;17880896;4426360;4326592;5395251;6239589;4094915;3218087;5842014;6409556;4243532;4999575;3610961;3977276;5609462;4563605;5130652;3822997;2725847;3467047;6485808;2121210;1760026;2419293
54;1583913;1479218;2417856;1220699;2019762;839647;880991;5076378;435255;1065665;23368;17763;76305;20301;1983;1349310;1105426;1421350;555384;1321705;1186783;447800;1171982;673039;7384;1048;86669;3802;1135;17214
66;4855556;1407965;1484560;1045043;1883438;987400;792223;8091378;872832;574470;238019;139930;516701;249879;80338;1200490;1161584;1019735;628285;1363468;1271700;460679;1900225;1181765;271744;2915;328271;84997;539793;1493
75;1703839;1454254;2281799;1967546;1915385;656002;44908;1159316;33566;391536;96;3635;3736;31634;156;1506076;1086435;1455181;317944;1601107;1290954;639908;1057026;829275;0;0;232634;481;0;16287
68;1152283;1339040;1406659;671489;1465643;770670;637831;2807828;258427;792025;5114;25701;109522;16102;245;1180905;1258397;1266125;474238;994687;1368571;385748;945344;1122115;1207;1063;61805;35621;4166;1025
96;1011337;320905;1293074;768000;1167034;57566;728;3233;219;131547;761;7167;26238;4189;277;764758;611709;1555011;257390;485300;868351;310623;101443;119052;8814;865;4015;5139;449;200
93;1467327;435701;1543688;407677;1503028;179671;1041;336418;16244;32772;14642;3312;2943;5842;586;863637;475926;527366;494259;993783;478744;316387;204322;366051;55;0;1495;10895;12834;1899
102;859454;445014;1261476;452217;1134919;24344;14;33662;0;1904;20822;1;0;6081;0;438035;1266268;470805;288043;386067;402472;275926;60245;7528;0;2817;7849;7002;0;0
133;9287523;1571626;1844548;1811224;2111790;5907333;2306567;4961571;2079731;3706231;1530172;1300048;1703873;1314335;1724836;2043716;1382308;1457916;2197485;3611238;1968645;655980;2157810;17087865;1506658;111327;1005747;805572;1965497;35188
134;3105645;4597776;2793626;2917915;4470035;5478640;2949996;5607494;2454874;3921939;2962809;1932065;2416109;965503;965181;4910138;2148747;2830985;3392619;4564278;3614151;1233453;1739269;10531780;2247794;2428957;2453601;1871318;1977328;965898
141;6203978;13188513;11692412;10660903;8920085;10658637;6986227;13242086;7194507;6997702;8868505;8805401;6500940;5420839;3418896;10279425;6571427;9295482;10287756;8676333;10289692;6818511;8135103;11792791;5905849;6669821;10667197;8952522;4064743;10387156
143;1881793;2353312;2728335;2904093;1761577;2100266;1447857;5867298;1092501;1120797;479678;329757;622761;40992;31439;1975665;1973848;2083796;1255086;1927993;2077030;720310;1290826;1891996;343224;0;159811;234085;8035;12313
148;1161537;1860420;1688322;1902596;1315210;1041152;1461398;4957198;741676;885189;209276;160121;301526;65961;3649;1497136;1387998;1532536;1086632;1649500;1602998;734589;1139577;1570335;50775;64;42482;41339;716;2843
