;Oxygen;Temperature
HT_Br_141_27754;Normox;10C
HT_Br_142_27755;Normox;10C
HT_Br_143_27756;Normox;10C
HT_Br_145_27757;Normox;10C
HT_Br_153_27758;Normox;10C
HT_Br_182_30362;Normox;18C
HT_Br_184_30363;Normox;18C
HT_Br_186_30343;Normox;18C
HT_Br_185_30364;Normox;18C
HT_Br_189_30367;Normox;18C
HT_Br_221_30350;Normox;25C
HT_Br_222_30351;Normox;25C
HT_Br_227_30353;Normox;25C
HT_Br_229_30354;Normox;25C
HT_Br_233_30355;Normox;25C
HT_Br_122_27749;Hypox;10C
HT_Br_123_27750;Hypox;10C
HT_Br_125_27751;Hypox;10C
HT_Br_126_27752;Hypox;10C
HT_Br_129_27753;Hypox;10C
HT_Br_161_27759;Hypox;18C
HT_Br_162_27760;Hypox;18C
HT_Br_166_30359;Hypox;18C
HT_Br_172_30342;Hypox;18C
HT_Br_173_30361;Hypox;18C
HT_Br_202_30368;Hypox;25C
HT_Br_203_30369;Hypox;25C
HT_Br_204_30346;Hypox;25C
HT_Br_205_30347;Hypox;25C
HT_Br_207_30345;Hypox;25C
