"","Br_23865","Br_23883","Br_23884","Br_23728","Br_23729","Br_23730","Br_23731","Br_23732","Br_23733","Br_23875","Br_23876","Br_23877"
"126",21.3869181099141,21.2755097180109,21.8732947623278,20.8202136266413,24.1981146022157,22.8249620639138,22.1699911648165,23.6308937207404,22.039038488251,20.6733178925257,21.2970118122769,22.7226792251687
"155",18.7067205933313,18.448604406286,18.4931661831178,19.691183689865,20.3522007393202,22.2225959651387,22.9316827760241,21.4498576133261,20.4887106629476,18.7067205933313,18.5931458391675,18.638167333612
"168",19.4854641651029,19.0701627419852,19.8545336415697,19.1208694312339,18.7660180545631,20.9221015370367,23.1693343195043,20.5147226234589,21.0234529400452,19.4854641651029,19.2709543900576,20.1601238838199
"285",18.9229116147752,18.8113227759773,19.406525305266,19.3919177339578,19.8139414226285,22.0068613252755,21.0002296356688,22.3160923823414,21.4026521465559,18.9424710319076,19.0010954707951,19.1292284933233
"315",17.2508100891904,17.6977558901126,17.8056776140627,18.0108297370699,17.3083999731934,20.6326976930452,20.9782762368092,20.1954071959928,19.9034435817882,17.8567386177344,16.8945860247012,18.2288419904557
"328",18.7542955975796,18.599036617382,18.3386489147787,17.3794621718411,17.5375529549725,17.0495344833395,17.6040379450325,17.776748999155,19.4991524208364,19.1021682490569,20.1281977542659,20.0967613810787
"302",20.9855103762114,21.1490529976125,21.6996601897024,20.3799663421769,21.4163980714152,22.7226792251687,20.5621752449877,22.5048783609923,19.8778050632884,20.3971579367255,21.4026521465559,22.3160923823414
"346",18.3480651441553,19.1959589835502,19.1527522373602,18.8939743552318,18.4137173856232,19.2095383624295,20.6175231969215,18.8718797112865,19.0701627419852,19.9465135486226,19.579066798022,19.31295115688
"518",22.9316827760241,23.2032531292499,23.7551235023635,22.9136680648139,23.8714373971324,22.8395303050384,21.7784454419701,23.9033459586846,22.0068613252755,21.8657068400863,23.149201173879,23.6830702623189
"504",17.6568426354941,17.1698616888434,16.7177103631236,18.1397488412115,18.0772657477042,20.311181172225,17.0797143418577,17.1503082951722,17.4442872930362,17.6728658120797,17.776748999155,16.7404321266494
"497",19.1418203210724,18.5029998492596,19.1342616831636,19.4237494531168,19.3743869369901,18.5650967572483,19.4991524208364,19.4008360453816,20.0198204947653,19.7641994279474,18.9889648113098,19.2572404514126
"550",19.7567503130806,19.3047712864474,20.0361564345914,19.7320782164307,19.2709543900576,19.6666567247072,19.6832454533303,19.6152619529433,19.7078208693461,20.3261365681748,19.6594840604049,19.8007380828372
