"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"126",-376255.488926261,5798203,-0.248622531752642,0.808359136581524,0.999964564224971,-4.59511985038142
"155",139992.487913014,1598462.08333333,0.278642608415462,0.785829398869689,0.999964564224971,-4.59511985037372
"168",266040.598817959,1640273,0.678101664220745,0.512102004785642,0.999964564224971,-4.59511985027783
"285",310921.545076398,1438271.83333333,0.574259761905687,0.577662343823032,0.999964564224971,-4.59511985031269
"315",202818.416919437,546454.5,1.1738997328912,0.26589716774291,0.909873484022211,-4.59511985004719
"328",226202.848214186,508601.583333333,1.11348132500119,0.289885379190802,0.912573300049572,-4.59511985007247
"302",-468584.500000001,3222126.58333333,-0.376773613073781,0.71370521460162,0.999964564224971,-4.59511985038889
"346",192743.274297403,687272.916666667,0.950821745680686,0.362674164634706,0.957960034862707,-4.59511985016034
"518",-2669454.66666667,10093904.3333333,-0.573400087909793,0.57822357060162,0.999964564224971,-4.59511985033015
"504",-93463.7880209137,244540.833333333,-1.68640183447882,0.120612646654886,0.763547829236716,-4.59511984974982
"497",43297.0496248872,658118.5,0.447589933726609,0.663373256462211,0.999964564224971,-4.59511985034718
"550",-111008.316011864,928428.416666667,-0.423765993586822,0.68012810426946,0.999964564224971,-4.59511985037576
"600",-411218.5,2337889.25,-0.288682847008837,0.77833877539501,0.999964564224971,-4.59511985040774
"614",-6560301.60635063,16918911.3333333,-1.06409242692602,0.310706723744621,0.912573300049572,-4.59511985009866
"599",-26121651.5,58555039.25,-1.52265051877267,0.156831787035142,0.797380973312059,-4.59511984980915
"575",-10474.1848646713,1166531.16666667,-0.0390287195179846,0.969586016265123,0.999964564224971,-4.59511985040516
"609",-11160603.0950977,38686169.5833333,-1.3430517090919,0.20704378577182,0.852664193017281,-4.59511984993484
"601",-92.0000000008439,3255071.16666667,-4.54603096813431e-05,0.999964564224971,0.999964564224971,-4.5951198504349
"699",-6614896.50000001,77849922.4166667,-0.371604178343798,0.71743962813762,0.999964564224971,-4.59511985039013
